url,num_items,scraped
start_requests/item_scraped_count/https://www.amazon.com/product-reviews/B0014ZWHZQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0,0
start_requests/item_scraped_count/https://www.amazon.com/product-reviews/B07MM625RD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0,0
start_requests/item_scraped_count/https://www.amazon.com/product-reviews/B0014ZWHZQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0,0
start_requests/item_scraped_count/https://www.amazon.com/product-reviews/B07MM625RD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0,0
